Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
a01_Home,,,1.3,1.3,7.0,64.6,21,2,75.5,77.5,report0.html
b2s01_Cruises,,,1.4,1.4,2.3,38.9,6,2,81.0,82.5,report1.html
b2s02_Support,,,0.5,0.5,1.8,11.2,5,2,82.0,84.0,report2.html
a03_BackHome,,,1.6,1.6,1.4,17.3,4,2,82.5,82.5,report3.html
